Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.eclaire.json	19708	-	0	0	0	0	0	0	13	79	0	0	0	0	0	0	0	1	0	0	108	165	0	0	0	6	0	1
fsh-generated/resources/CapabilityStatement-eclaire-consommateur.json	1701	7	0	0	1	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	30	58	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-group-characteristic-kind-code-system.json	1103	6	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	17	618	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-reglementation-precision-code-system.json	2077	7	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	22	72	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-regulation-code-code-system.json	862	6	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	18	51	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-status-recruitment-code-system.json	869	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	23	79	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-party-organization-type-code-system.json	1097	6	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	17	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-party-role-code-system.json	2105	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	47	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-code-system.json	819	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-source-code-system.json	1979	6	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	32	48	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-population-code-system.json	1768	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	30	41	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-status-code-system.json	1308	6	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	39	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-title-type-code-system.json	2796	7	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	33	41	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-type-contact-code-system.json	720	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	24	36	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-eclaire-study-phase-concept-map.json	3295	8	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	33	38	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-eclaire-study-status-concept-map.json	2764	14	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	23	35	0	0	0	0	0	0
fsh-generated/resources/ResearchStudy-2022-500014-26-00-example.json	11430	9	0	0	0	0	0	0	2	53	0	0	0	0	0	0	0	0	0	0	46	53	0	0	0	0	0	0
fsh-generated/resources/ResearchStudy-fake-study-example.json	10677	9	0	0	1	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	45	52	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-eclaire-approval-date.json	1409	8	0	22	0	0	0	0	0	28	0	0	1	0	0	0	0	0	0	0	51	245	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eclaire-arm-intervention.json	2667	7	0	51	0	0	0	0	0	46	0	0	0	0	0	0	0	1	0	0	81	252	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eclaire-associated-party-r5.json	6165	7	0	81	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	139	303	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-address.json	1351	6	0	68	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	37	165	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-affiliation.json	1374	6	0	58	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	33	113	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-name.json	1335	7	0	41	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	40	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-type.json	1555	9	0	33	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	35	75	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-group.json	1660	10	0	47	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	98	230	0	0	0	5	0	2
fsh-generated/resources/StructureDefinition-eclaire-label-r5.json	3043	11	0	20	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	67	106	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-eclaire-location.json	1073	6	0	83	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	110	207	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-eclaire-outcome-measure-r5.json	4742	7	0	26	1	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	97	138	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-eclaire-recruitment-period.json	1452	6	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	34	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-recruitment-status.json	1549	6	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	35	64	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-researchstudy.json	16436	7	0	86	0	0	0	0	0	51	0	0	0	0	0	0	0	1	0	0	354	530	0	0	0	21	0	1
fsh-generated/resources/StructureDefinition-eclaire-review-date.json	1563	6	0	6	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	34	62	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-site-contact-name.json	1419	6	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	34	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-therapeutic-area.json	1432	6	0	6	1	0	0	0	1	15	0	0	1	0	0	0	0	0	0	0	33	60	0	0	0	2	0	0
fsh-generated/resources/ValueSet-eclaire-category-vs.json	918	6	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	15	102	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-group-characteristic-kind-vs.json	706	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	60	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-reglementation-precision-vs.json	724	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	79	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eclaire-regulation-code-vs.json	622	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	52	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-status-recruitment-vs.json	682	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	52	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-outcome-type-vs.json	823	6	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	15	56	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eclaire-study-party-organization-type-vs.json	729	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	62	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-party-role-vs.json	771	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	63	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-phase-source-vs.json	728	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	68	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-phase-vs.json	738	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	60	0	1	0	1	0	0
fsh-generated/resources/ValueSet-eclaire-study-population-vs.json	654	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	64	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-status-vs.json	631	6	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	56	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-title-type-vs.json	717	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	71	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-type-contact-vs.json	625	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	43	0	0	0	1	0	0
